AZ,ITD150,ITD400,ITD600,ITD1000,sdITD150,sdITD400,sdITD600,sdITD1000,,ITD,2sdITD150,2sdITD400,2sdITD600,2sdITD1000
-35,-408.3095232,-469.6575657,-412.19327,-376.5316536,128.8706156,79.80278298,37.79689641,59.92248994,,-665,196.0698185,89.90963525,59.28362852,65.9193954
-34,-400.0063229,-458.6355216,-400.9057625,-365.1789283,125.3127052,79.40392599,37.05589042,59.67320036,,-660,195.3982468,89.49575965,58.77357696,66.12060559
-33,-390.6796305,-447.6706595,-389.1019351,-353.6959878,122.2159268,78.8294248,36.37368197,59.09884379,,-655,194.7372178,89.08162173,58.27740179,66.24427842
-32,-380.2851149,-436.6510299,-376.8759854,-342.2246643,119.4665246,78.11864326,35.72471901,58.39714442,,-650,194.0834284,88.66779731,57.79379702,66.3032808
-31,-368.7784453,-425.4646832,-364.322111,-330.9067903,116.9507427,77.31094522,35.08344951,57.76582643,,-645,193.4341999,88.25477867,57.32178696,66.31002813
-30,-356.1152906,-413.9996697,-351.5345098,-319.8841983,114.5548255,76.44569453,34.42432146,57.40261402,,-640,192.7870569,87.84298923,56.86061061,66.2740238
-29,-342.3508257,-402.159805,-338.6196435,-309.2567735,112.1876872,75.54470743,33.73047863,57.45161272,,-635,192.1398316,87.43281003,56.4096893,66.20231332
-28,-327.9382487,-389.9119642,-325.7330302,-298.9566124,109.8489223,74.55960968,33.01984804,57.84245343,,-630,191.4904974,87.02459581,55.9685915,66.10013239
-27,-313.4302636,-377.2387874,-313.0424523,-288.8738645,107.5607954,73.42447944,32.31905255,58.45114844,,-625,190.8371249,86.6186822,55.53698842,65.97149609
-26,-299.3795743,-364.1229148,-300.7156922,-278.898679,105.345571,72.07339485,31.65471498,59.15370998,,-620,190.1778704,86.21539665,55.11465936,65.81967362
-25,-286.3388848,-350.5469866,-288.9205322,-268.9212054,103.2255137,70.44043407,31.05345817,59.82615034,,-615,189.5108853,85.81506529,54.70145875,65.64732092
-24,-274.6803886,-336.519347,-277.7571048,-258.8488609,101.212624,68.48617589,30.53380032,60.3601535,,-610,188.8343044,85.41801634,54.29731775,65.45661256
-23,-264.0542372,-322.1511569,-267.0549438,-248.6581346,99.27784573,66.27720168,30.08184099,60.71009044,,-605,188.1462341,85.02459097,53.90227474,65.2494162
-22,-253.9300715,-307.5792811,-256.5759332,-238.3427835,97.38185887,63.90659342,29.67557511,60.84600388,,-600,187.4446396,84.63514224,53.51641611,65.02728102
-21,-243.7775328,-292.9405848,-246.081957,-227.8965647,95.48534327,61.46743313,29.2929976,60.73793652,,-595,186.7274215,84.25006254,53.13979723,64.79157079
-20,-233.0662618,-278.3719327,-235.3348992,-217.3132351,93.5489788,59.0528028,28.91210337,60.35593108,,-590,185.9921984,83.86975279,52.77200694,64.54345618
-19,-221.4061817,-263.9987535,-224.14655,-206.5869145,91.54401435,56.73180477,28.50941008,59.67124738,,-585,185.2363511,83.49459443,52.41178303,64.28396362
-18,-208.9683438,-249.9007298,-212.5283243,-195.7131737,89.48397481,54.47762273,28.05552634,58.66001368,,-580,184.4570193,83.12501365,52.05767951,64.01400403
-17,-196.0640813,-236.1461079,-200.541543,-184.687946,87.39295407,52.23946068,27.51958346,57.29957534,,-575,183.6509084,82.76170572,51.70816891,63.73440258
-16,-183.0047274,-222.803134,-188.2475274,-173.5071649,85.29504604,49.96652265,26.87071278,55.56727773,,-570,182.8152252,82.4059381,51.36175146,63.44599297
-15,-170.1016154,-209.9400544,-175.7075984,-162.1667638,83.2143446,47.60801265,26.07804562,53.44046621,,-565,181.9492671,82.06144962,51.01694367,63.14981858
-14,-157.5921162,-197.5741765,-162.9886529,-150.6850147,81.17338366,45.12869614,25.12258699,50.92572342,,-560,181.0528797,81.73277636,50.67226936,62.84699395
-13,-145.4177507,-185.5190524,-150.1798907,-139.1695434,79.18845705,42.55558427,24.03283653,48.1465811,,-555,180.1262346,81.42450142,50.32626488,62.53866764
-12,-133.4460775,-173.5372952,-137.3760874,-127.750314,77.27429862,39.93124965,22.84916754,45.25580825,,-550,179.169645,81.14107088,49.97748613,62.22598529
